Type,SKU,Name,Published,Short description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Images
simple,1201085639,AMEB: Piano Grade 2 Series 16,1,,34.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201085639.jpg
simple,1201085739,AMEB: Piano Grade 3 Series 16,1,,37.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201085739.jpg
simple,1201085839,AMEB: Piano Grade 4 Series 16,1,,42.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201085839.jpg
simple,1201085939,AMEB: Piano Grade 5 Series 16,1,,47.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201085939.jpg
simple,1201086039,AMEB: Piano Grade 6 Series 16,1,,49.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201086039.jpg
simple,1201086139,AMEB: Piano Grade 7 Series 16,1,,54.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201086139.jpg
simple,1201086239,AMEB: Piano Grade 8 Series 16,1,,59.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1201086239.jpg
simple,1203086339,AMEB: Piano Prelim To Grade 2 Series 16 Cd/Handbook,1,,44.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1203086339.jpg
simple,1203086639,AMEB: Piano Grade 3 To 4 Series 16 Cd/Handbook,1,,44.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1203086639.jpg
simple,1203086939,AMEB: Piano Grade 5 Series 16 Cd/Handbook,1,,44.95,Various,AMEB: Piano,Publisher,AMEB,1,1,Composer,Various,,1,Instrument,AMEB: Piano,1,1,,,,,,,,,Composer-Surname,Various,,1,https://d15858lvr3fz7i.cloudfront.net/images/400/1203086939.jpg
